,slug,playtime,released,rating,rating_top,ratings_count,reviews_text_count,added,metacritic,suggestions_count,updated,tags,reviews_count,genres,yet,owned,beaten,toplay,dropped,playing
0,terraria,12,5/16/2011,4,4,1384,6,7304,81,367,2020-12-07T19:51:06,"Singleplayer, Steam Achievements",1395,"Platformer, Indie",237,5518,603,94,729,123
1,lego-lord-of-the-rings,3,9/28/2012,3.4,4,409,1,3640,80,586,2019-10-23T14:56:48,"Singleplayer, Для одного игрока",410,"Casual, Platformer",265,3000,205,29,115,26
2,minecraft,26,5/10/2009,4.41,5,1339,8,3640,83,431,2020-09-08T16:50:31,"Multiplayer, Sandbox",1359,"Action, Arcade",38,2049,689,48,434,382
3,the-binding-of-isaac-rebirth,35,11/4/2014,4.31,5,726,5,3297,86,248,2019-12-29T20:04:49,"Singleplayer, Для одного игрока",732,"Action, RPG",74,2464,380,63,225,91
4,lego-the-hobbit,2,4/8/2014,3.4,4,289,0,3194,70,517,2019-10-23T14:56:45,"Singleplayer, Для одного игрока",289,"Family, Adventure",285,2665,132,24,75,13
5,vvvvvv,1,1/9/2010,3.73,4,372,1,2832,81,218,2019-10-21T19:00:35,"Singleplayer, Для одного игрока",374,"Adventure, Action",107,2291,259,27,140,8
6,sonic-generations,2,6/23/2011,3.89,4,353,1,2705,77,464,2020-08-03T02:19:31,"Singleplayer, Для одного игрока",356,"Family, Platformer",129,2174,241,32,108,21
7,resident-evil-revelations-biohazard-revelations,8,2/7/2012,3.72,4,404,0,2630,77,638,2020-09-08T11:03:44,"Singleplayer, Для одного игрока",405,"Adventure, Action",203,1945,325,67,73,17
8,steamworld-dig,4,8/8/2013,3.77,4,437,1,2598,76,484,2019-09-17T03:22:28,"Singleplayer, Для одного игрока",439,"Adventure, Action",135,1996,301,31,116,19
9,scribblenauts-unlimited,4,11/13/2012,3.61,4,315,0,2532,75,332,2019-09-17T03:23:26,"Singleplayer, Для одного игрока",317,"Casual, Strategy",107,2075,149,18,172,11
10,rayman-origins,2,11/15/2011,4.12,4,525,4,2487,86,540,2020-08-03T02:19:58,"Singleplayer, Для одного игрока",529,"Family, Platformer",143,1696,401,44,174,29
11,prince-of-persia,1,6/13/2007,3.74,4,559,2,2399,82,582,2020-09-07T02:23:39,"Singleplayer, Для одного игрока",561,"Platformer, Adventure",79,1546,548,43,174,9
12,sonic-all-stars-racing-transformed,5,11/16/2012,3.88,4,276,6,2130,79,474,2020-06-29T15:18:25,"Singleplayer, Для одного игрока",285,"Racing, Family",82,1738,152,14,126,18
13,cave-story,2,3/22/2010,4.03,4,223,1,1913,83,441,2019-09-17T03:31:32,"Singleplayer, Для одного игрока",225,"Indie, Platformer",109,1534,157,40,63,10
14,punch-club,5,1/7/2016,3.64,4,260,1,1807,73,364,2020-08-03T02:17:32,"Singleplayer, Для одного игрока",261,"RPG, Fighting",96,1462,120,17,103,9
15,fifa-15,17,9/20/2014,3.29,4,334,1,1728,82,332,2019-09-17T03:37:49,"Multiplayer, Story",335,,19,1339,190,3,170,7
16,lego-batman-2,5,6/19/2012,3.59,4,218,0,1709,75,428,2020-08-28T02:28:45,"Singleplayer, Для одного игрока",218,"Family, Adventure",135,1303,186,16,62,7
17,the-sims-3,10,6/2/2009,3.96,4,464,2,1612,86,538,2019-11-24T07:13:40,"Singleplayer, Для одного игрока",466,"Casual, Simulation",35,954,353,11,233,26
18,fifa-14,35,9/23/2013,3.27,4,289,0,1588,86,475,2019-09-17T03:43:28,"online, 3D",289,,16,1241,170,3,156,2
19,steamworld-heist,5,12/10/2015,3.95,4,207,0,1535,81,577,2019-12-16T14:30:24,"Singleplayer, Для одного игрока",207,"Adventure, Action",107,1204,101,34,71,18
